STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_6;MO_NSH;MO_RR;MO_SH_S;MX_RS;eor
      19039;20190101;20190131;    3;     44;    75.2;    222;   18.8;eor
      19039;20190201;20190228;    3;     12;    28.1;     72;   11.7;eor
      19039;20190301;20190331;    3;      7;    76.2;      7;   16.8;eor
      19039;20190401;20190430;    3;      1;    65.5;      1;   14.5;eor
      19039;20190501;20190531;    3;      0;   112.0;      0;   28.0;eor
      19039;20190601;20190630;    3;      0;    92.4;      0;   42.5;eor
      19039;20190701;20190731;    3;      0;    41.6;      0;   13.0;eor
      19039;20190801;20190831;    3;      0;    82.2;      0;   17.8;eor
      19039;20190901;20190930;    3;      0;    44.3;      0;   13.6;eor
      19039;20191001;20191031;    3;      0;   102.4;      0;   14.8;eor
      19039;20191101;20191130;    3;      5;    76.8;      5;   18.1;eor
      19039;20191201;20191231;    3;      1;    55.5;      1;   14.5;eor Quelldatei: produkt_nieder_monat_20190101_20191231_19039.txt within monatswerte_RR_19039_20190101_20191231_hist.zip Downloadlink: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/monthly/more_precip/historical/
